Id,YearId,Total,Under 20,20-24,25-29,30-34,35-39,40-44,Over 45,Unknown
1,2010,75513,8411,18249,22447,18141,7145,1054,60,6
2,2011,70846,7799,16504,21226,16983,7137,1128,62,7
3,2012,69121,7404,15895,20945,16268,7398,1124,84,3
4,2013,66578,6968,15002,20433,15591,7305,1202,74,3
5,2014,67585,6655,14454,20770,16204,7978,1401,116,7
6,2015,65950,6274,13157,20655,16257,7917,1522,165,3
7,2016,64984,6031,12341,20315,16530,7837,1731,198,1
8,2017,63955,6038,11690,19565,16586,7986,1874,215,1
9,2018,62197,6191,10625,18644,16770,7825,1917,222,3
10,2019,61538,6245,10247,17964,16889,7928,2024,239,2
11,2020,59086,5970,9983,16486,16496,7857,1987,307,1
12,2021,58678,5861,9984,15744,16780,8043,1959,304,1
13,2022,56596,5769,9813,14637,15717,8265,1987,405,3
14,2023,57197,5820,10206,14223,15588,8718,2166,475,1
