Id,YearId,Total,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,Over 84
1,2010,48646,130,29,9,29,31,48,55,98,188,352,647,946,1332,2199,3603,5448,7544,8970,16988
2,2011,51624,252,51,35,25,64,83,105,148,310,466,664,1078,1718,2778,3526,5260,9239,11607,14215
3,2012,52579,209,54,33,24,49,66,87,145,294,395,632,1078,1656,2743,3719,5346,9286,11614,15149
4,2013,49518,206,45,27,25,43,73,97,142,253,445,597,1035,1652,2409,3630,4821,8307,11099,14612
5,2014,52322,233,43,25,22,42,77,102,156,250,490,611,1204,1703,2721,3868,5145,8213,11723,15694
6,2015,53077,189,43,23,25,46,71,100,145,252,441,689,1015,1725,2592,3977,5249,7826,12041,16628
7,2016,51458,165,35,27,19,45,50,101,143,219,407,727,1028,1709,2639,3922,5196,7591,11138,16297
8,2017,53010,181,37,10,20,40,57,88,127,224,454,683,1011,1705,2612,4038,5554,7546,11451,17172
9,2018,52159,158,47,26,20,48,58,85,132,239,446,682,992,1654,2595,3945,5535,7413,10797,17287
10,2019,51965,151,44,27,29,43,50,76,127,242,425,650,909,1550,2475,3892,5687,7399,10430,17759
11,2020,58785,141,28,10,32,35,55,72,132,231,469,770,1147,1862,3059,4599,7072,8665,11108,19298
12,2021,71696,156,39,31,25,50,65,109,171,299,556,956,1442,2313,3762,5934,9282,11217,13149,22140
13,2022,57158,117,34,19,32,41,51,71,117,239,439,677,1105,1568,2607,4195,6742,8734,10698,19672
14,2023,48646,130,29,9,29,31,48,55,98,188,352,647,946,1332,2199,3603,5448,7544,8970,16988
